Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AAOHN J;0891-0162;468;0.560;;0.170;53;6.0;0.00091;;
ABACUS;0001-3072;292;0.833;1.000;0.350;20;8.8;0.00044;0.235;
ACAD MANAG ANN;1941-6067;206;5.440;5.342;0.231;13;2.6;0.00223;3.028;
ACAD MANAG LEARN EDU;1537-260X;643;2.533;3.333;0.476;21;5.1;0.00212;0.848;
ACAD MANAGE J;0001-4273;17239;5.250;10.779;0.603;63;>10.0;0.03125;5.406;
ACAD MANAGE PERSPECT;1558-9080;351;2.470;2.500;0.600;25;3.0;0.00254;0.978;
ACAD MANAGE REV;0363-7425;15782;6.720;11.657;0.926;27;>10.0;0.02181;5.205;
ACAD PSYCHIATR;1042-9670;753;1.062;1.220;0.972;72;4.9;0.00235;0.355;
ACAD-REV LATINOAM AD;1012-8255;2;0.032;;0.000;17;;0.00001;;
ACCIDENT ANAL PREV;0001-4575;5334;2.353;2.719;0.263;270;6.8;0.01446;0.885;
ACCOUNT BUS RES;0001-4788;48;0.683;;0.000;23;;0.00018;;
ACCOUNT FINANC;0810-5391;230;0.432;;0.095;42;5.9;0.00041;;
ACCOUNT HORIZ;0888-7993;717;1.706;;0.211;19;9.4;0.00138;;
ACCOUNT ORG SOC;0361-3682;2189;2.337;2.963;0.233;43;>10.0;0.00262;0.712;
ACCOUNT REV;0001-4826;3569;2.488;3.463;0.583;72;9.0;0.01089;2.201;
ACROSS LANG CULT;1585-1923;9;0.125;;0.000;13;;0.00004;;
ACTA HISTRIAE;1318-0185;18;0.108;;0.026;39;;0.00001;;
ACTA LINGUIST HUNGAR;1216-8076;71;0.500;;0.227;22;;0.00015;;
ACTA OECON;0001-6373;17;0.143;;0.000;16;;0.00003;;
ACTA PAUL ENFERM;0103-2100;199;0.204;;0.000;120;4.1;0.00024;;
ACTA POLIT;0001-6810;200;0.706;1.194;0.200;20;5.6;0.00169;0.889;
ACTA PSYCHIAT SCAND;0001-690X;10092;3.795;4.071;0.699;103;>10.0;0.01487;1.190;
ACTA PSYCHOL;0001-6918;3297;2.246;2.432;0.771;109;>10.0;0.00721;0.917;
ACTA SOCIOL;0001-6993;457;1.000;1.360;0.000;19;>10.0;0.00143;0.736;
ACTES RECH SCI SOC;0335-5322;301;0.143;0.333;0.000;30;>10.0;0.00044;0.155;
ACTION RES-LONDON;1476-7503;143;0.846;;0.316;19;4.2;0.00057;;
ACTUAL PROBL ECON;1993-6788;5;0.003;;0.004;459;;0.00000;;
ADAPT BEHAV;1059-7123;470;1.136;1.809;0.483;29;6.9;0.00104;0.488;
ADDICT BEHAV;0306-4603;6220;2.133;2.587;0.383;201;6.5;0.01791;0.860;
ADDICT RES THEORY;1606-6359;529;0.800;1.045;0.234;47;6.5;0.00153;0.353;
ADDICTION;0965-2140;11387;4.145;5.001;1.341;214;6.8;0.03223;1.738;
ADICCIONES;0214-4840;230;1.127;;0.061;33;4.5;0.00031;;
ADM POLICY MENT HLTH;0894-587X;717;2.451;2.038;1.378;45;3.8;0.00283;0.618;
ADMIN LAW REV;0001-8368;467;1.115;0.962;0.222;27;8.9;0.00125;0.409;
