Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACAD MANAG ANN;1941-6520;1148;7.769;10.866;0.583;12;5.0;0.00726;6.827;
ACAD MANAGE J;0001-4273;22351;6.448;9.812;0.653;72;>10.0;0.02809;5.744;
ACAD MANAGE PERSPECT;1558-9080;993;3.354;5.427;0.296;27;5.3;0.00463;2.493;
ACAD MANAGE REV;0363-7425;19739;7.475;10.736;1.130;23;>10.0;0.01571;6.683;
ACCIDENT ANAL PREV;0001-4575;9570;2.070;2.699;0.396;323;6.8;0.01919;0.813;
ACCOUNT REV;0001-4826;4924;2.267;3.028;0.355;76;>10.0;0.00964;1.692;
ACTA PSYCHIAT SCAND;0001-690X;11769;5.605;5.256;2.012;83;>10.0;0.01285;1.583;
ACTA PSYCHOL;0001-6918;5246;2.248;2.676;0.536;183;8.8;0.00958;0.946;
ADDICT BEHAV;0306-4603;9199;2.764;3.017;0.580;300;7.6;0.01704;0.995;
ADDICTION;0965-2140;16193;4.829;5.827;2.125;192;7.6;0.03278;2.012;
ADM POLICY MENT HLTH;0894-587X;1395;2.098;3.367;0.474;76;5.4;0.00364;1.052;
ADMIN SCI QUART;0001-8392;12934;3.333;7.313;0.333;21;>10.0;0.00783;5.943;
ADV EXP SOC PSYCHOL;0065-2601;3566;5.318;8.652;1.100;10;>10.0;0.00375;5.139;
ADV HEALTH SCI EDUC;1382-4996;1276;2.124;2.688;0.550;40;5.5;0.00479;1.134;
AGGRESSIVE BEHAV;0096-140X;2357;2.275;3.077;0.240;50;8.8;0.00422;1.209;
AIDS BEHAV;1090-7165;6376;3.728;4.012;0.651;307;4.0;0.02222;1.279;
AIDS CARE;0954-0121;5208;2.095;2.440;0.440;243;5.9;0.01338;0.808;
AIDS PATIENT CARE ST;1087-2914;2856;3.497;3.306;0.312;80;5.6;0.00742;1.001;
AJIDD-AM J INTELLECT;1944-7515;455;2.164;2.774;0.333;36;3.8;0.00248;0.982;
ALCOHOL ALCOHOLISM;0735-0414;4076;2.889;3.150;0.791;91;8.0;0.00757;1.023;
AM ECON J-APPL ECON;1945-7782;1016;3.115;5.144;1.103;39;4.0;0.02473;8.284;
AM ECON J-ECON POLIC;1945-7731;668;2.769;3.834;1.432;44;3.4;0.01448;5.809;
AM ECON J-MACROECON;1945-7707;805;3.780;5.226;1.226;31;4.1;0.01810;7.809;
AM ECON REV;0002-8282;33621;3.673;4.951;1.075;241;>10.0;0.12071;7.045;
AM EDUC RES J;0002-8312;3049;2.157;3.511;0.333;36;>10.0;0.00659;2.256;
AM ETHNOL;0094-0496;1686;2.232;2.083;0.191;47;10.0;0.00526;1.446;
AM HIST REV;0002-8762;1448;2.615;1.887;0.118;34;>10.0;0.00424;1.892;
AM J BIOETHICS;1526-5161;1363;5.288;4.000;12.000;23;4.4;0.00388;1.628;
AM J COMMUN PSYCHOL;0091-0562;4025;2.145;2.657;0.833;72;>10.0;0.00500;0.877;
AM J GERIAT PSYCHIAT;1064-7481;5503;4.235;4.409;0.909;176;6.3;0.01225;1.382;
AM J MANAG CARE;1088-0224;3176;2.264;2.652;0.282;85;5.7;0.01140;1.134;
AM J PHYS ANTHROPOL;0002-9483;9514;2.379;2.673;0.579;178;>10.0;0.01244;0.848;
AM J POLIT SCI;0092-5853;7753;3.269;4.506;0.754;69;>10.0;0.02213;4.467;
AM J PSYCHIAT;0002-953X;42476;12.295;14.644;3.368;95;>10.0;0.04843;5.427;
AM J PUBLIC HEALTH;0090-0036;29771;4.552;5.101;1.029;522;9.8;0.05767;2.157;
AM J SOCIOL;0002-9602;12416;3.545;5.326;0.481;27;>10.0;0.01169;4.279;
AM POLIT SCI REV;0003-0554;9680;3.688;5.954;0.260;50;>10.0;0.02312;6.647;
AM PSYCHOL;0003-066X;17525;6.100;7.089;1.855;55;>10.0;0.01224;3.108;
AM SOCIOL REV;0003-1224;13181;4.390;6.824;0.604;53;>10.0;0.01669;5.153;
ANN ASSOC AM GEOGR;0004-5608;3776;2.291;2.550;0.250;80;>10.0;0.00655;1.049;
ANN BEHAV MED;0883-6612;4886;4.144;5.364;0.788;80;7.2;0.01104;1.963;
ANN CLIN PSYCHIATRY;1040-1237;954;2.364;2.278;0.464;28;7.8;0.00141;0.616;
ANN TOURISM RES;0160-7383;5074;2.685;3.467;0.212;85;>10.0;0.00397;0.788;
ANNU REV ANTHROPOL;0084-6570;2746;2.717;3.613;0.067;30;>10.0;0.00394;1.809;
ANNU REV CLIN PSYCHO;1548-5943;2980;12.674;14.369;2.179;28;5.4;0.00976;5.539;
ANNU REV ECON;1941-1383;462;2.643;3.956;0.378;37;4.2;0.01072;5.977;
ANNU REV ENV RESOUR;1543-5938;2122;5.892;9.372;0.348;23;7.5;0.00529;3.877;
ANNU REV POLIT SCI;1094-2939;1812;3.140;3.929;0.440;25;8.1;0.00666;3.745;
ANNU REV PSYCHOL;0066-4308;13101;21.810;26.824;4.037;27;>10.0;0.02311;12.229;
ANNU REV PUBL HEALTH;0163-7525;4090;6.469;7.365;1.962;26;9.1;0.00673;3.364;
ANNU REV SOCIOL;0360-0572;6582;4.080;7.374;0.433;30;>10.0;0.01068;5.133;
ANTIPODE;0066-4812;2298;2.104;2.917;0.441;68;7.6;0.00708;1.327;
APPL ERGON;0003-6870;3629;2.023;2.143;0.364;198;8.7;0.00565;0.597;
APPL GEOGR;0143-6228;2656;2.494;2.853;0.533;195;3.5;0.00723;0.710;
ARCH GEN PSYCHIAT;0003-990X;36976;14.480;15.560;;0;>10.0;0.04869;6.133;
ARCH SEX BEHAV;0004-0002;4482;2.589;3.483;0.428;145;6.4;0.01005;1.077;
ASIA PAC J MANAG;0217-4561;1218;2.091;2.500;0.261;46;6.6;0.00220;0.652;
ASSESSMENT;1073-1911;2317;3.108;3.355;0.415;65;8.0;0.00490;1.352;
ATTACH HUM DEV;1461-6734;1199;2.127;2.532;0.595;37;8.5;0.00208;0.838;
ATTEN PERCEPT PSYCHO;1943-3921;2286;2.168;2.526;0.531;196;3.8;0.01265;0.931;
AUGMENT ALTERN COMM;0743-4618;738;2.588;1.840;1.120;25;7.9;0.00075;0.376;
AUST NZ J PSYCHIAT;0004-8674;5370;3.407;3.616;1.936;94;7.5;0.00920;1.021;
AUTISM;1362-3613;2159;3.639;3.829;0.562;96;7.4;0.00383;1.178;
AUTISM RES;1939-3792;1209;4.330;4.822;0.318;66;3.9;0.00554;1.679;
BEHAV BRAIN SCI;0140-525X;7562;20.771;24.308;2.750;20;>10.0;0.01103;10.686;
BEHAV GENET;0001-8244;3465;3.210;2.922;0.491;53;>10.0;0.00623;1.181;
BEHAV RES METHODS;1554-351X;8994;2.928;3.968;0.608;97;7.4;0.01525;1.703;
BEHAV RES THER;0005-7967;13847;3.395;4.609;0.473;129;>10.0;0.01734;1.675;
BEHAV THER;0005-7894;3825;3.694;4.151;0.765;68;9.8;0.00675;1.498;
BILING-LANG COGN;1366-7289;1391;2.009;2.862;0.755;49;6.4;0.00354;1.026;
BIOL PSYCHOL;0301-0511;7167;3.403;3.945;0.841;157;7.0;0.01493;1.272;
BMJ QUAL SAF;2044-5415;1740;3.988;3.806;1.468;124;2.5;0.00878;1.359;
BODY IMAGE;1740-1445;1656;2.042;2.496;0.244;78;5.7;0.00367;0.674;
BRAIN COGNITION;0278-2626;6209;2.477;3.335;0.582;141;8.5;0.01111;1.072;
BRAIN LANG;0093-934X;6019;3.215;3.637;0.602;93;>10.0;0.00926;1.230;
BRIT J CLIN PSYCHOL;0144-6657;2928;2.279;2.982;0.462;26;>10.0;0.00279;1.080;
BRIT J DEV PSYCHOL;0261-510X;2100;2.841;2.546;0.514;35;>10.0;0.00417;1.158;
BRIT J HEALTH PSYCH;1359-107X;1967;2.776;3.295;0.358;53;6.6;0.00476;1.149;
BRIT J MATH STAT PSY;0007-1102;1250;2.167;1.954;0.192;26;>10.0;0.00361;1.498;
BRIT J PSYCHIAT;0007-1250;22557;7.991;8.196;1.905;116;>10.0;0.02980;2.878;
BRIT J PSYCHOL;0007-1269;3436;2.254;3.277;0.794;34;>10.0;0.00459;1.430;
